,Aleph system number (001),Carrier type term (338 $a),Chronological subdivision - 1 (650 $y),Chronological subdivision - 2 (650 $y),Chronological subdivision - 3 (650 $y),Chronological subdivision - 4 (650 $y),Chronological subdivision - 5 (650 $y),Chronological subdivision - 6 (650 $y),Chronological subdivision - 7 (650 $y),Content type term (336 $a),Corporate name or jurisdiction name as entry element (710 $a),Country (008/15-17),Date of manufacture (264 $c),Date/Time of an Event (033 $a),Devised title (245 $a),Extent (300 $a),Form of item (008/23),Geographic subdivision - 1 (650 $z),Geographic subdivision - 2 (650 $z),Geographic subdivision - 3 (650 $z),Geographic subdivision - 4 (650 $z),Geographic subdivision - 5 (650 $z),Geographic subdivision - 6 (650 $z),Geographic subdivision - 7 (650 $z),Language (008/35-37),Link text (856 $y),Manufacturer (264 $b),Media type term (337 $a),Other title - 1 (246 $a),Other title - 10 (246 $a),Other title - 11 (246 $a),Other title - 12 (246 $a),Other title - 13 (246 $a),Other title - 2 (246 $a),Other title - 3 (246 $a),Other title - 4 (246 $a),Other title - 5 (246 $a),Other title - 6 (246 $a),Other title - 7 (246 $a),Other title - 8 (246 $a),Other title - 9 (246 $a),Place of manufacture (264 $a),Relator term (710 $e),Source (336 $2),Source (337 $2),Source (338 $2),Title statement of original (534 $t),Topical term or geographic name entry element - 1 (650 $a),Topical term or geographic name entry element - 2 (650 $a),Topical term or geographic name entry element - 3 (650 $a),Topical term or geographic name entry element - 4 (650 $a),Topical term or geographic name entry element - 5 (650 $a),Topical term or geographic name entry element - 6 (650 $a),Topical term or geographic name entry element - 7 (650 $a)
0,,online resource,1846.0,1846.0,1846.0,1846.0,,,,text,British Library Playbills Project,enk,[2018],1861,[Edinburgh theatres playbill for Oliver Twist; Grand Incidental Ballet; Lucky Stars; Don Caesar De Bazan],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,,eng,digitised sheet,[British Library],computer,Oliver Twist,,,,,Grand Incidental Ballet,Lucky Stars,Don Caesar De Bazan,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Oliver Twist; Grand Incidental Ballet; Lucky Stars; Don Caesar De Bazan],Burletta,Ballet,Melo-Drama,Melo-Dramatic Spectacle,,,
1,,online resource,1821.0,1821.0,1821.0,,,,,text,British Library Playbills Project,enk,[2018],1855,"[Edinburgh theatres playbill for Lowina of Tobolski, Or, the Fatal Snow Storm; Lowina of Tobolski; The Battle of Bannockburn; King Robert the Bruce: Or, the Battle of Bannockburn]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,"Lowina of Tobolski, Or, the Fatal Snow Storm",,,,,Lowina of Tobolski,The Battle of Bannockburn,"King Robert the Bruce: Or, the Battle of Bannockburn",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Lowina of Tobolski, Or, the Fatal Snow Storm; Lowina of Tobolski; The Battle of Bannockburn; King Robert the Bruce: Or, the Battle of Bannockburn]",Melodrama,Melodrama,Melodrama,,,,
2,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1873,"[Edinburgh theatres playbill for The Lancers; Romeo and Juliet; Oliver Twist, or the Adventures of a Workhouse Boy]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Lancers,,,,,Romeo and Juliet,"Oliver Twist, or the Adventures of a Workhouse Boy",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Lancers; Romeo and Juliet; Oliver Twist, or the Adventures of a Workhouse Boy]",Melodrama,Interlude,Tragedy,,,,
3,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1866,[Edinburgh theatres playbill for The Pledge; Robert Macaire; Charles Xii. Or the Siege of Stralsund],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Pledge,,,,,Robert Macaire,Charles Xii. Or the Siege of Stralsund,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Pledge; Robert Macaire; Charles Xii. Or the Siege of Stralsund],Melodrama,Historical Drama,Drama,,,,
4,,online resource,1847.0,,,,,,,text,British Library Playbills Project,enk,[2018],1859,[Edinburgh theatres playbill for A Concert],1 online resource,s,Edinburgh,,,,,,,eng,digitised sheet,[British Library],computer,A Concert,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Concert],Concert,,,,,,
5,,online resource,1845.0,,,,,,,text,British Library Playbills Project,enk,[2018],1875,[Edinburgh theatres playbill for Grand Concert and Novel Entertainment],1 online resource,s,Edinburgh,,,,,,,eng,digitised sheet,[British Library],computer,Grand Concert and Novel Entertainment,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Grand Concert and Novel Entertainment],Concert,,,,,,
6,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1864,[Edinburgh theatres playbill for Douglas; The Broken Sword],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Douglas,,,,,The Broken Sword,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Douglas; The Broken Sword],Romantic Drama,Tragedy,,,,,
7,,online resource,1846.0,,,,,,,text,British Library Playbills Project,enk,[2018],1848,[Edinburgh theatres playbill for A Grand Vocal and Instrumental Ethiopian Concert],1 online resource,s,Edinburgh,,,,,,,eng,digitised sheet,[British Library],computer,A Grand Vocal and Instrumental Ethiopian Concert,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Grand Vocal and Instrumental Ethiopian Concert],Concert,,,,,,
8,,online resource,1844.0,,,,,,,text,British Library Playbills Project,enk,[2018],1871,[Edinburgh theatres playbill for Grand Vocal & Instrumental Ethiopian Concerts],1 online resource,s,Edinburgh,,,,,,,eng,digitised sheet,[British Library],computer,Grand Vocal & Instrumental Ethiopian Concerts,,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Grand Vocal & Instrumental Ethiopian Concerts],Concert,,,,,,
9,,online resource,1846.0,,,,,,,text,British Library Playbills Project,enk,[2018],1865,[Edinburgh theatres playbill for A Lady Freemason; Literary Gleanings and Lyric Effusions],1 online resource,s,Edinburgh,,,,,,,eng,digitised sheet,[British Library],computer,A Lady Freemason,,,,,Literary Gleanings and Lyric Effusions,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Lady Freemason; Literary Gleanings and Lyric Effusions],Masonic and Miscellaneous Entertainment,,,,,,
