partOf,source,title,date,genre,link,theatre,city,country
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589096.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589096.0x000198,Othello Travestie ,1836-12-08,Burletta,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589096.0x000002#?cv=44,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589096.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589096.0x000199,"Revenge; Or, the Captive Moor",1850-10-11,Classical Tragedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589096.0x000002#?cv=45,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x0001ed,"Jew of Lubeck Or, the Heart of a Father",1828-04-11,After-Piece,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=138,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00028c,"Night Hag Or, St. Swithin's Chair",1828-01-29,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=297,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000293,Woodman's Hut,1830-11-09,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=304,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00028d,Child of Nature,1825-10-10,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=298,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x0002af,Turnpike Gate,1833-01-31,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=332,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x0002b6,"Wood Demon Or, the Clock Has Struck",1829-02-09,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=339,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x00014d,"Therese, Or, the Orphan of Geneva",,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589044.0x000002#?cv=27,"Theatre Royal, Bristol",Bristol,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000153,The Beggar's Opera,,Opera,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589044.0x000002#?cv=33,"Theatre Royal, Bristol",Bristol,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000157,Real Bear,,Romance,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589044.0x000002#?cv=37,"Theatre Royal, Bristol",Bristol,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x00014d,"Grace, Strength, and Agility",,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589044.0x000002#?cv=27,"Theatre Royal, Bristol",Bristol,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016e,Merchant of Venice,1833-01-25,Play,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=11,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589044.0x000155,"Wallace, the Hero of Scotland",,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589044.0x000002#?cv=35,"Theatre Royal, Bristol",Bristol,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000166,Victorine,1833-12-31,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=3,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000167,A Cure for the Heart-Ache,-01-21,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=4,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000168,A Husband at Sight,1830-10-14,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=5,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016a,Ella Rosenberg,1830-11-25,Melodrama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=7,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016b,Widow's Vow,1829-03-02,Interlude,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=8,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000167,The Battle of Navarin,-01-21,Comic Song,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=4,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016d,Honey Moon,1826-11-07,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=10,Miscellaneous Plymouth theatres,Plymouth,England
